ATLAS CashOps 财务模型,,,,
说明,"替换灰色假设单元格即可重算。数字为量级估算。",,,
,,,,
== 假设 ASSUMPTIONS ==,值,单位,,
Starter 月价,79,USD,,
Pro 月价,199,USD,,
Managed 月价(取中),599,USD,,
Starter 占比,0.45,,,
Pro 占比,0.45,,,
Managed 占比,0.10,,,
加权ARPU(理论),185,USD/月,=0.45*79+0.45*199+0.10*599,
加权ARPU(保守用),155,USD/月,模型采用,
变动成本/客户/月,17,USD,,
毛利率,0.85,,=1-17/(155*?)近似,
CAC,300,USD,,
月流失率,0.025,,,
试用转化率,0.18,,,
,,,,
== 单位经济 UNIT ECONOMICS ==,值,公式,,
客户生命周期(月),40,=1/月流失率,,
LTV(USD),5270,=ARPU*毛利率*生命周期,,
LTV:CAC,17.6,=LTV/CAC,,
CAC回收期(月),2.3,=CAC/(ARPU*毛利率),,
,,,,
== 三年基准情景 BASE CASE ==,Y1,Y2,Y3,
年末付费客户,350,1500,4500,
加权ARPU(月USD),140,155,170,
ARR(年末USD),588000,2790000,9180000,=客户*ARPU*12
毛利率,0.82,0.84,0.86,
毛利(USD),482160,2343600,7894800,=ARR*毛利率
固定成本(USD),600000,1600000,4000000,
营业盈亏(USD),-117840,743600,3894800,=毛利-固定成本
NRR,1.00,1.10,1.18,
,,,,
== 情景对比 ARR(年末USD) ==,Y1,Y2,Y3,
保守,450000,1900000,6000000,
基准,588000,2790000,9180000,
进取,900000,4500000,15000000,
,,,,
== 资金层第二曲线(Y3 Upside) ==,值,公式,,
启用支付客户数,1350,=4500*0.30,,
每户每月经手额(USD),8000,,,
抽成率,0.007,,,
月抽成总额(USD),75600,=客户*经手额*抽成率,,
年抽成总额(USD),907200,=月抽成*12,,
